tps,cores,blk_size,platform
698.0802792321117,64,100,BachLedger
1874.5899334520573,64,100,BachLedger
3154.8727008865194,64,100,BachLedger
3348.289024308578,64,100,BachLedger
2752.773419219864,64,100,BachLedger
2807.4903843454335,64,100,BachLedger
735.9651446907475,64,100,BachLedger
1767.2215742409783,64,100,BachLedger
1447.450316267894,64,100,BachLedger
4538.852578068265,64,100,BachLedger
3937.7830281551487,64,100,BachLedger
1259.8107764213814,64,100,BachLedger
5095.801059926621,64,100,BachLedger
5373.455131649651,64,100,BachLedger
5100.73960724305,64,100,BachLedger
4644.4661186196645,64,100,BachLedger
4699.910701696667,64,100,BachLedger
5109.078833086394,64,100,BachLedger
4849.660523763337,64,100,BachLedger
4614.461723040007,64,100,BachLedger
5338.458253256459,64,100,BachLedger
5985.51505357036,64,100,BachLedger
4600.662495399337,64,100,BachLedger
4439.905873995472,64,100,BachLedger
4854.604592455945,64,100,BachLedger
4258.762403645501,64,100,BachLedger
5190.491020450535,64,100,BachLedger
5059.960532307848,64,100,BachLedger
5187.260089220874,64,100,BachLedger
5389.092476826902,64,100,BachLedger
4853.897679836909,64,100,BachLedger
5035.500276952515,64,100,BachLedger
5568.858940803029,64,100,BachLedger
5680.204487361545,64,100,BachLedger
4241.061961915264,64,100,BachLedger
6183.144747418537,64,100,BachLedger
5093.724531377343,64,100,BachLedger
4737.315836846842,64,100,BachLedger
5518.459246178467,64,100,BachLedger
4627.487274409995,64,100,BachLedger
5005.75662011313,64,100,BachLedger
4854.8402757549275,64,100,BachLedger
5297.1713105201825,64,100,BachLedger
4609.994468006638,64,100,BachLedger
5299.9788000848,64,100,BachLedger
5435.964340073929,64,100,BachLedger
5972.645284596548,64,100,BachLedger
4939.247258717771,64,100,BachLedger
4639.510067736846,64,100,BachLedger
5135.579293344289,64,100,BachLedger
5430.945527616358,64,100,BachLedger
5876.476464711759,64,100,BachLedger
5585.344057193923,64,100,BachLedger
4721.658246376127,64,100,BachLedger
3811.556639731666,64,100,BachLedger
4207.337596768765,64,100,BachLedger
6045.218232378188,64,100,BachLedger
6019.744762822056,64,100,BachLedger
6998.39037021485,64,100,BachLedger
4754.659566375047,64,100,BachLedger
5461.198186882202,64,100,BachLedger
4755.337866755433,64,100,BachLedger
4622.994776015904,64,100,BachLedger
6409.023905659168,64,100,BachLedger
4305.33430920911,64,100,BachLedger
5799.7912075165295,64,100,BachLedger
4297.932694374006,64,100,BachLedger
4386.5420888713425,64,100,BachLedger
5272.871078302136,64,100,BachLedger
6308.352258390109,64,100,BachLedger
4400.4400440044,64,100,BachLedger
4667.008913987026,64,100,BachLedger
4599.181345720462,64,100,BachLedger
4533.502584096473,64,100,BachLedger
5778.342771293193,64,100,BachLedger
5402.777027392079,64,100,BachLedger
5067.653169817058,64,100,BachLedger
5581.914596706671,64,100,BachLedger
5088.281687274207,64,100,BachLedger
4775.549188156639,64,100,BachLedger
4902.922141596391,64,100,BachLedger
4660.049396523604,64,100,BachLedger
5332.195798229711,64,100,BachLedger
5077.430820005077,64,100,BachLedger
5421.523448088913,64,100,BachLedger
6171.315724512466,64,100,BachLedger
4479.483963447411,64,100,BachLedger
4754.2074736141485,64,100,BachLedger
5105.6877361380575,64,100,BachLedger
4893.08606938396,64,100,BachLedger
5806.526535826269,64,100,BachLedger
5990.534954771461,64,100,BachLedger
4992.511233150275,64,100,BachLedger
5104.645227156712,64,100,BachLedger
4921.744266167931,64,100,BachLedger
4264.028654272557,64,100,BachLedger
4772.586264496731,64,100,BachLedger
6017.933441656135,64,100,BachLedger
6349.206349206349,64,100,BachLedger
4112.180277983387,64,100,BachLedger
5357.334190506804,64,100,BachLedger
4156.275976724854,64,100,BachLedger
5570.409982174688,64,100,BachLedger
5414.771496642842,64,100,BachLedger
3607.763907929865,64,100,BachLedger
5543.85186827808,64,100,BachLedger
6018.29561868079,64,100,BachLedger
6364.562118126273,64,100,BachLedger
5400.151204233718,64,100,BachLedger
4598.5468591924955,64,100,BachLedger
4654.843364520784,64,100,BachLedger
4176.41162712997,64,100,BachLedger
6653.802648213454,64,100,BachLedger
5650.355972426263,64,100,BachLedger
5119.803399549457,64,100,BachLedger
4726.1212722718465,64,100,BachLedger
5178.932104200114,64,100,BachLedger
5923.819678928973,64,100,BachLedger
4339.901050256054,64,100,BachLedger
5141.652527122217,64,100,BachLedger
4790.189691511784,64,100,BachLedger
5000.500050005001,64,100,BachLedger
4365.668383829564,64,100,BachLedger
5753.739930955121,64,100,BachLedger
4668.534080298786,64,100,BachLedger
4713.868200245121,64,100,BachLedger
4991.514425476689,64,100,BachLedger
5186.452984803693,64,100,BachLedger
4942.176534545814,64,100,BachLedger
5215.395848544905,64,100,BachLedger
4850.601474582848,64,100,BachLedger
5430.650591940915,64,100,BachLedger
5208.875924575477,64,100,BachLedger
4624.277456647399,64,100,BachLedger
4607.021100156639,64,100,BachLedger
5066.626133657597,64,100,BachLedger
6137.605106487448,64,100,BachLedger
4905.327185323261,64,100,BachLedger
4527.140205532166,64,100,BachLedger
5389.9638872419555,64,100,BachLedger
6267.627702914447,64,100,BachLedger
4514.061300952467,64,100,BachLedger
5054.845068998636,64,100,BachLedger
4882.8125,64,100,BachLedger
5878.203620973431,64,100,BachLedger
4760.544606302961,64,100,BachLedger
4200.7981516488135,64,100,BachLedger
6322.711178553364,64,100,BachLedger
4006.7313085984456,64,100,BachLedger
5050.505050505051,64,100,BachLedger
5073.824141255263,64,100,BachLedger
6074.227054607301,64,100,BachLedger
5002.501250625312,64,100,BachLedger
5654.509471303365,64,100,BachLedger
5205.622071837584,64,100,BachLedger
4940.711462450593,64,100,BachLedger
4480.487477037502,64,100,BachLedger
5462.39143497023,64,100,BachLedger
4714.757190004715,64,100,BachLedger
6418.073294397022,64,100,BachLedger
3780.4324814758806,64,100,BachLedger
6070.171178827243,64,100,BachLedger
5263.157894736842,64,100,BachLedger
3657.6444769568398,64,100,BachLedger
5494.203615185979,64,100,BachLedger
4109.814236396515,64,100,BachLedger
6495.193556767992,64,100,BachLedger
4998.000799680129,64,100,BachLedger
6867.660188173889,64,100,BachLedger
5033.219247030401,64,100,BachLedger
4793.4042757166135,64,100,BachLedger
5503.274448296736,64,100,BachLedger
5208.333333333333,64,100,BachLedger
5525.472427892585,64,100,BachLedger
5799.454851243983,64,100,BachLedger
4912.7978383689515,64,100,BachLedger
4953.928465272961,64,100,BachLedger
4168.403501458942,64,100,BachLedger
6348.803250587264,64,100,BachLedger
5159.958720330237,64,100,BachLedger
5496.015388843089,64,100,BachLedger
4662.222015012355,64,100,BachLedger
4997.251511668582,64,100,BachLedger
5561.425949613481,64,100,BachLedger
5355.03909178537,64,100,BachLedger
4134.794293983874,64,100,BachLedger
4975.619464623345,64,100,BachLedger
4426.737494466578,64,100,BachLedger
5796.093433026141,64,100,BachLedger
4429.875077522814,64,100,BachLedger
6952.652436904679,64,100,BachLedger
5704.181164793794,64,100,BachLedger
4576.240161083654,64,100,BachLedger
4385.772553835358,64,100,BachLedger
5647.1651231082,64,100,BachLedger
4132.914531327492,64,100,BachLedger
4703.226413319537,64,100,BachLedger
4760.317989241682,64,100,BachLedger
5711.348449368896,64,100,BachLedger
5302.789267154523,64,100,BachLedger
5100.73960724305,64,100,BachLedger
4548.969658372378,64,100,BachLedger
4811.624885723909,64,100,BachLedger
5307.0105609510165,64,100,BachLedger
6097.932800780535,64,100,BachLedger
5581.291510855612,64,100,BachLedger
4938.75938364283,64,100,BachLedger
4440.300164291106,64,100,BachLedger
4865.943263101552,64,100,BachLedger
5966.943135031923,64,100,BachLedger
5209.690023443605,64,100,BachLedger
4596.644449551827,64,100,BachLedger
5078.978109604348,64,100,BachLedger
4853.66208804543,64,100,BachLedger
4739.111890431734,64,100,BachLedger
6198.090987975704,64,100,BachLedger
5834.3057176196035,64,100,BachLedger
4935.346954890929,64,100,BachLedger
4651.162790697675,64,100,BachLedger
4978.839930296241,64,100,BachLedger
4100.209110664644,64,100,BachLedger
4717.871296471032,64,100,BachLedger
6381.213706847042,64,100,BachLedger
4862.867146469559,64,100,BachLedger
4417.741650468281,64,100,BachLedger
4992.511233150275,64,100,BachLedger
4190.236748376284,64,100,BachLedger
4885.1978505129455,64,100,BachLedger
4310.3448275862065,64,100,BachLedger
5296.329643557015,64,100,BachLedger
5041.593143433324,64,100,BachLedger
5438.329345225146,64,100,BachLedger
5309.264666843642,64,100,BachLedger
4475.875033569063,64,100,BachLedger
5152.248956669587,64,100,BachLedger
4363.763309478094,64,100,BachLedger
5029.675082989638,64,100,BachLedger
4248.99086466964,64,100,BachLedger
4689.331770222743,64,100,BachLedger
4355.211009973433,64,100,BachLedger
4554.771122751082,64,100,BachLedger
6161.429451632778,64,100,BachLedger
4704.111393357794,64,100,BachLedger
6030.635628995296,64,100,BachLedger
4554.356241745229,64,100,BachLedger
5433.6013910019565,64,100,BachLedger
4624.491305956345,64,100,BachLedger
5047.445992327883,64,100,BachLedger
4441.2861964825015,64,100,BachLedger
5108.556832694764,64,100,BachLedger
5362.792942564487,64,100,BachLedger
4474.47313078885,64,100,BachLedger
4676.393565282455,64,100,BachLedger
4907.734589713388,64,100,BachLedger
4586.524790166491,64,100,BachLedger
5061.753391374772,64,100,BachLedger
4864.286409183773,64,100,BachLedger
4334.633723450368,64,100,BachLedger
5087.246273592104,64,100,BachLedger
4226.185445017327,64,100,BachLedger
5494.505494505495,64,100,BachLedger
5579.11180540058,64,100,BachLedger
4819.97397214055,64,100,BachLedger
4880.905896134323,64,100,BachLedger
4660.266567247646,64,100,BachLedger
6015.761294591831,64,100,BachLedger
6269.199423233654,64,100,BachLedger
4860.031104199067,64,100,BachLedger
5380.683346785041,64,100,BachLedger
5145.621076463929,64,100,BachLedger
5093.724531377343,64,100,BachLedger
4913.039206052864,64,100,BachLedger
4257.855743847398,64,100,BachLedger
4567.878677142336,64,100,BachLedger
5983.008256551395,64,100,BachLedger
4709.428275407366,64,100,BachLedger
4774.181227919412,64,100,BachLedger
4088.4745901304227,64,100,BachLedger
5207.248489897937,64,100,BachLedger
4451.5669515669515,64,100,BachLedger
4613.823013749192,64,100,BachLedger
6236.746912810278,64,100,BachLedger
5117.183502200389,64,100,BachLedger
4353.883664228492,64,100,BachLedger
5172.50297418921,64,100,BachLedger
4673.115566147951,64,100,BachLedger
6047.046018020197,64,100,BachLedger
4018.8080215408113,64,100,BachLedger
4636.713497472992,64,100,BachLedger
5210.775884529206,64,100,BachLedger
5155.968032998196,64,100,BachLedger
4832.085044696787,64,100,BachLedger
5434.487256127384,64,100,BachLedger
4749.01457947476,64,100,BachLedger
4796.6231772831925,64,100,BachLedger
4074.3155149934814,64,100,BachLedger
5497.223901929526,64,100,BachLedger
4167.361226871145,64,100,BachLedger
5184.033177812338,64,100,BachLedger
4695.2765517889,64,100,BachLedger
6097.189195780745,64,100,BachLedger
3644.846187490888,64,100,BachLedger
5456.728145803776,64,100,BachLedger
4702.562896778744,64,100,BachLedger
5167.691592165779,64,100,BachLedger
3967.4667724657807,64,100,BachLedger
5162.089613875697,64,100,BachLedger
5354.465624330692,64,100,BachLedger
4148.000663680106,64,100,BachLedger
5294.366793731469,64,100,BachLedger
3908.6929330831767,64,100,BachLedger
